Temperatura Inicial,Temperatura Final,Alfa,Custo
500,0.1,0.95,0.4948338027
500,0.1,0.98,0.3482580187
500,0.1,0.995,0.2249577407
500,0.1,0.999,0.2047198918
500,0.05,0.95,0.4607927645
500,0.05,0.98,0.3238854917
500,0.05,0.995,0.299585705
500,0.05,0.999,0.2435230621
500,0.01,0.95,0.4752935099
500,0.01,0.98,0.4282954364
500,0.01,0.995,0.3072646308
500,0.01,0.999,0.2442903497
500,0.005,0.95,0.332512398
500,0.005,0.98,0.3027474747
500,0.005,0.995,0.3026505658
500,0.005,0.999,0.1642979718
1000,0.1,0.95,0.5093632656
1000,0.1,0.98,0.4326574776
1000,0.1,0.995,0.3105583332
1000,0.1,0.999,0.2186751999
1000,0.05,0.95,0.5279065364
1000,0.05,0.98,0.3746521088
1000,0.05,0.995,0.3259556466
1000,0.05,0.999,0.2048893482
1000,0.01,0.95,0.4551116357
1000,0.01,0.98,0.3078770283
1000,0.01,0.995,0.2740625566
1000,0.01,0.999,0.1862065538
1000,0.005,0.95,0.4824651408
1000,0.005,0.98,0.3453285603
1000,0.005,0.995,0.2984260358
1000,0.005,0.999,0.258789218
1500,0.1,0.95,0.4787954267
1500,0.1,0.98,0.3665618599
1500,0.1,0.995,0.3009243854
1500,0.1,0.999,0.2492104882
1500,0.05,0.95,0.4913867838
1500,0.05,0.98,0.3884162846
1500,0.05,0.995,0.3409732243
1500,0.05,0.999,0.1681022443
1500,0.01,0.95,0.4982765311
1500,0.01,0.98,0.3611712073
1500,0.01,0.995,0.3641102298
1500,0.01,0.999,0.232832279
1500,0.005,0.95,0.4216758955
1500,0.005,0.98,0.3570954831
1500,0.005,0.995,0.2390281188
1500,0.005,0.999,0.1754221388
2000,0.1,0.95,0.4619590202
2000,0.1,0.98,0.4167002162
2000,0.1,0.995,0.3060903792
2000,0.1,0.999,0.1912908513
2000,0.05,0.95,0.5044564536
2000,0.05,0.98,0.3940025724
2000,0.05,0.995,0.3933160321
2000,0.05,0.999,0.1750100827
2000,0.01,0.95,0.452017174
2000,0.01,0.98,0.4022889408
2000,0.01,0.995,0.3119468878
2000,0.01,0.999,0.2075180474
2000,0.005,0.95,0.3903378618
2000,0.005,0.98,0.3914869743
2000,0.005,0.995,0.3665265091
2000,0.005,0.999,0.210958486